,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
104,,,,1,,1,linear,1,FXS,,False,FXS-USDT,FXS-USDT-SWAP,144478,SWAP,20,1705046100655,1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],FXS-USDT
105,,,,1,,1,linear,10,GALA,,False,GALA-USDT,GALA-USDT-SWAP,42682,SWAP,20,1632477789599,1,100000000.0000000000000000,20000000,100000000,,800000,800000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GALA-USDT
106,,,,1,,1,linear,1,GAS,,False,GAS-USDT,GAS-USDT-SWAP,135958,SWAP,20,1698141300695,1,100000000.0000000000000000,20000000,100000000,,6000,6000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],GAS-USDT
107,,,,1,,1,linear,10,GLM,,False,GLM-USDT,GLM-USDT-SWAP,158496,SWAP,20,1715329501418,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],GLM-USDT
108,,,,1,,1,linear,1,GMT,,False,GMT-USDT,GMT-USDT-SWAP,81738,SWAP,20,1648803369890,1,100000000.0000000000000000,20000000,100000000,,250000,250000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GMT-USDT
109,,,,1,,1,linear,0.1,GMX,,False,GMX-USDT,GMX-USDT-SWAP,114226,SWAP,20,1675321542847,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.01,[],GMX-USDT
110,,,,1,,1,linear,10,GOAT,,False,GOAT-USDT,GOAT-USDT-SWAP,181199,SWAP,20,1729760401829,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GOAT-USDT
111,,,,1,,1,linear,1,GODS,,False,GODS-USDT,GODS-USDT-SWAP,45727,SWAP,20,1636113037912,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GODS-USDT
112,,,,1,,1,linear,10,GPS,,False,GPS-USDT,GPS-USDT-SWAP,200413,SWAP,20,1741089600468,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GPS-USDT
113,,,,1,,1,linear,1,GRASS,,False,GRASS-USDT,GRASS-USDT-SWAP,182059,SWAP,20,1730125800597,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],GRASS-USDT
114,,,,1,,1,linear,10,GRIFFAIN,,False,GRIFFAIN-USDT,GRIFFAIN-USDT-SWAP,190624,SWAP,20,1735282800164,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GRIFFAIN-USDT
115,,,,1,,1,linear,10,GRT,,False,GRT-USDT,GRT-USDT-SWAP,10509,SWAP,50,1608458400000,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],GRT-USDT
116,,,,1,,1,linear,100,H,,False,H-USDT,H-USDT-SWAP,216935,SWAP,50,1751522400413,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],H-USDT
